,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,适宜人群,别墅类型,户型介绍,小区介绍,售房详情,税费解析,周边配套,用水类型,用电类型,装修描述,燃气价格,交通出行,权属抵押
541,['伊甸山庄'],富阳-银湖科技城,120.015268,30.152734,210,18503,提前预约随时可看,1.03112E+11,0,3室2厅1厨2卫,中楼层 (共5层),113.5㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2020/10/9,商品房,2018/8/8,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,1.80621E+11,"
                    带车库，此房满二，带装修，带车库，地铁口六号线旁。交通便利。
                  ","
                    房屋是1995年建造，公摊面积少。两房朝南一房朝北。总楼层5楼。视野好。
                  ",,,"
                    此房为70年产权商品房，个税1%契税首套1.5%二套2%  付款方式首套可三成按揭，二套六成按揭。
                  ",,,"
                    到转塘只要7公里，到滨江18公里。西湖边26公里。地铁口6号线旁，交通便利，出行方便。
                  ",,,,,,,
542,['容大五环城市花园'],富阳-富春,119.938355,30.061376,170,18627,有租户需预约,1.03114E+11,8,2室2厅1厨1卫,中楼层 (共17层),91.27㎡,暂无数据,70.31㎡,板楼,南,框架结构,简装,一梯十一户,有,2021/3/13,商品房,2005/8/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210314TW449420,"
                    电梯好楼层，满五年精装修可拎包入住，小区旁边配套设施齐全
                  ","
                    建筑年代：2002年建成。小区位置:富阳市金桥北路159号。开发商:杭州容大房地产开发有限公司。建筑类型：板楼。物业公司是广厦物业
                  ","
                    
1：永兴校口（公交站）距此193米。途经公交：606路、608路 2：文居街金桥北路口（公交站）距此301米，途经公交：606路、608路。以上数据百度地图测量所得
                  ",,,"
                    适宜改善居住品质的年轻群体，也适合那种对生活追求品质的中老年群体
                  ",,,,,,,,,
543,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,168,18180,提前预约随时可看,1.03111E+11,18,2室2厅1厨1卫,低楼层 (共18层),92.41㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,2020/8/13,商品房,2005/11/1,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,200817MS073250,"
                      此房满二带装修 有大阳台 西南户型
                  ","
                    
小区布局好，空气质量高，比较安静 开发商：华庭置业有限公司 物业：德丰物业 物业费：1.8 人车分流 小区一共16幢房子2001户 有36-220方不等
                  ",,,,"
                    
天猫小店，佐明便利店，受降镇农贸市场、世纪华联(紫云山庄东北)，云顶*市、野生动物园。银湖书院,
                  ",,,"
                    位于320国道旁，出行方便，来往有很多公交车，小区里面更有514直达吴山广场的公交车，晚6班早，准点出发.
                  ",,,,,,
544,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,120,19554,提前预约随时可看,1.03113E+11,41,1室1厅1厨1卫,高楼层 (共24层),61.37㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯十户,有,2020/12/14,商品房,2010/4/9,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201217ZY981910,"
                    精装修，楼层高，环山建造，房东诚心出售
                  ","
                    开发商华庭置业有限公司，物业德丰物业，物业费1.8元每平，小区配有室内篮球室外篮球，网球场，游泳池等各项运动设施
                  ",,,,"
                    中国硅谷，智谷园区，科创园园区，杭州野生动物园，杭州世纪华联，
                  ",,,"
                    位于320国道旁，出行方便，来往有很多公交车，小区里面更有514直达吴山广场的公交车，晚6班早，准点出发，小区环境很好，适合老人小孩居住
                  ",,,,,,
545,['天创园'],富阳-银湖科技城,120.007444,30.152187,89,17628,提前预约随时可看,1.03116E+11,0,2室1厅1厨2卫,高楼层 (共15层),50.49㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,简装,两梯十九户,有,2021/6/15,商品房,2017/6/13,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210615IA617567,"
                    
本房是40年产权公寓，交通便利，地铁口100米
                  ","
                    小区主要由7幢高层公寓和排屋组成，物业是北京尊逸天鸿物业，物业费2.38一平
                  ",,,"
                    
小区门口就有公交车站，停靠车辆多，往富阳市区以及杭州西湖、滨江方向班次较多，出行方便。距离地铁站银湖站200米（高德地图测）
                  ","
                    独立2室1厅1卫 朝北 采光佳 格局好 独立厨房，干湿分离，动静分区
                  ",,,,未知,未知,,,,
546,['云河福邸'],富阳-银湖科技城,120.016588,30.15219416,174,21311,提前预约随时可看,1.03109E+11,126,2室2厅1厨1卫,中楼层 (共7层),81.65㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,无,2020/5/28,商品房,2009/10/19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,2.0053E+11,"
                    
环境优异精装修 拎包入住楼层适中
                  ","
                    
此房满两年没有增值税，契税首套首贷1.5%，二套2%，个税1%
                  ",,,,,,"
                    
项目周 边有约60万方富春硅谷综合体，大型农贸市场。富阳人民医院，富春硅谷、肯德基，野生动物园 富春山居高档别墅区.
                  ","
                    
项目周 边拥有立体的道路交通网，G320，九龙大道，闲祝线，之江路，紫之隧道，地铁6号线与杭富轻轨在象山美院站无缝对接 门口有多站点公交车
                  ",,,,,,
547,['铭鹤花园'],富阳-银湖科技城,119.98466,30.141762,183,20820,提前预约随时可看,1.03112E+11,36,2室2厅1厨1卫,高楼层 (共7层),87.9㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2020/11/10,商品房,2017/2/7,普通住宅,满两年,共有,"
                                有抵押 60万元 邮政 业主自还
                              ",已上传房本照片,201111KB317512,"
                    此房靠地铁6号线银湖站旁 看房方便 房东诚售 精装修 拎包入住
                  ","
                    开发商：久恒置业有限公司 物业费：1.95 小区一共14幢 电梯花园洋房， 总高7楼，格局正气.房子安静，适合居住，铭鹤花园座落于人居名城杭州市西南风景区银湖别墅区内，南临320国道，北依青山，占地约60亩。
                  ",,,,"
                    房屋为满五唯一的商品房，契税 首套1% 二套1%。首套购房首付三成，二套六成，从税费上就开始节省您的购房成本。

                  ",,"
                    杭州野生动物， 受降菜场，受降镇，工商银行，邮政银行，农商银行，九龙农贸市场，世纪联华*市，银湖小 学，银湖幼儿园等
                  ",,,,,,,
548,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,210,16048,具体信息请致电经纪人,1.03117E+11,3,3室2厅1厨1卫,高楼层 (共18层),130.86㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,2021/9/2,商品房,2005/8/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210902ON650041,,,,,,,,,,,,,,,
549,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,200,14761,具体信息请致电经纪人,1.03117E+11,1,2室2厅1厨2卫,中楼层 (共24层),135.5㎡,平层,暂无数据,板楼,西,钢混结构,简装,两梯四户,有,2021/9/2,商品房,2008/8/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210923HC819559,,,,,,,,,,,,,,,
550,['铭鹤花园'],富阳-银湖科技城,119.98466,30.141762,180,20485,提前预约随时可看,1.03117E+11,13,2室2厅1厨1卫,中楼层 (共7层),87.87㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,有,2021/9/3,商品房,2011/7/8,普通住宅,满五年,非共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片,210910JF623315,"
                    此房满5 地铁口 电梯房 可随时看房！
                  ","
                    
小区位于320国道边，地铁口边，小区一共14幢房子，层高7层带电梯，一梯三户。交通便利，环境舒适。银湖科技园，银湖公园都在边上
                  ","
                    
小区南面为235国道， 整体位置在地铁银湖站和虎哨杏站的中 间偏东一点，距离银湖站较近800米左右，小区南门200米左右有银湖科创中 心公交站台，东门100米左右有科创西路南口公交车站台，以上数据均由高德地图所测
                  ",,,"
                    
目前来小区购房者多为滨江方向过来的年轻人，因为到滨江只需一条地铁，不用转车，很方便。滨江房价5万左右，这里房价还不到滨江的一半。
                  ",,,,,,,,,
551,['苋浦社区'],富阳-富春,119.9543685,30.05789251,125,22191,提前预约随时可看,1.03113E+11,21,2室1厅1厨1卫,高楼层 (共7层),56.33㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2021/2/24,商品房,2007/6/9,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210227ND942681,"
                    小户型   总价低   户型方正   视野宽阔   生活交通便利
                  ","
                    
房子为商品房，房本满五年了 没有增值税 个税1%。契税：首套，1.5%；二套，2%
                  ",,,,,,"
                    交通生活方便   距离大润发1000米左右  距离健身房200米左右   
                  ","
                    1.渔种场路(公交站)途经公交：608路2.苋浦西路新兴路口(公交站)详情距此198米途经公交：608路3.大浦闸(公交站)途经公交：2120路603路605路607路608路609路616路（以上数据均为百度地图测距所得）
                  ",,,,,,
552,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,170,18737,提前预约随时可看,1.03113E+11,50,2室2厅1厨1卫,高楼层 (共18层),90.73㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2020/12/11,商品房,2006/7/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201212PB492352,"
                    高楼层，视野开阔，采光佳  两室诚心出售
                  ","
                    开发商：华庭置业有限公司 物业：德丰物业 物业费：1.8 小区一共16幢房子2001户 面积有36-220方不等
                  ",,,,"
                    房子室内目前是开发商交付的装修，业主偶尔过来对室内进行保养，可放心入住
                  ",,,,,,"
                    小区位于320国道旁，小区里有514路公交直达吴山广场，早晚6班，节假日7班。还有2105路公交开往富阳市区。小区到6号线银湖站地铁口1.5公里左右（百度地图测）
                  ",,,
553,['九龙山庄'],富阳-银湖科技城,119.9669781,30.14748032,208,20256,提前预约随时可看,1.03113E+11,12,2室2厅1厨1卫,中楼层 (共5层),102.69㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯一户,暂无数据,2021/1/17,商品房,2018/3/30,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,1.80204E+11,"
                    绿城物业，多层 满二年 房东诚出售 有钥匙 
                  ","
                    环境优美，一年四季有不同的美景，空气好，适合居住。绿城物业，让您享受不一样的服务
                  ",,,"
                    房子满二：减免5.3个点的增值税 若是首套房需缴纳：1.5个点的契税 二套房需缴纳2个点的契税
                  ","
                    中高层 1梯2户       户户全明 三开间朝南 南北双阳台
                  ",,,,,,,,,
554,['野风秋雅'],富阳-银湖科技城,119.9678038,30.13966607,176,19937,提前预约随时可看,1.03113E+11,37,3室2厅1厨2卫,低楼层 (共24层),88.28㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021/2/23,商品房,2018/8/3,普通住宅,满两年,非共有,"
                                有抵押 69万元
                              ",已上传房本照片,1.80706E+11,"
                    钥匙在店，诚心出售，D户型，三开间朝南，多14方
                  ","
                    野风秋雅，位居杭州山水人居胜地——银湖风景别墅区，九龙大道、规划轻轨6号线。作为野风山小镇的重要公寓作品，倚靠4万方山景主题公园，户型面积为65-125方，90方三方两卫
                  ","
                    D户型，三开间朝南，客厅朝南带阳台，多14方，现在新建的房子都没有多的面积
                  ",,,"
                    滨江方向、诚心方向工作的人，可以考虑这里。首付60万左右，都可以在这里选择。三房两厅两卫，满足三代人居住
                  ",,,,,,,,,
555,['九龙仓雍景山'],富阳-银湖科技城,119.982073,30.168408,210,20002,提前预约随时可看,1.03114E+11,20,3室2厅1厨2卫,低楼层 (共23层),104.99㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2021/4/2,商品房,2018/3/6,普通住宅,满两年,非共有,"
                                有抵押 65万元
                              ",已上传房本照片,201009TK532191,"
                    
高楼层，视野开阔，采光通风佳，近野生动物园，交通便利
                  ","
                    
九龙仓雍景山位于杭州市富阳富阳，由富汇房地产开发(富阳)有限公司建成，总建筑面积500000，总占地面积298000，目前交房的有一二三期。总共8幢高层，其他都是叠排联排。
                  ","
                     小区周 边拥有立体的道路交通网，G320，九龙大道，闲祝线，经之江路，紫之隧道，即可到达西溪湿地。地铁6号线与杭富轻轨在象山美院站无缝对接
                  ",,,"
                    小区位于野生动物园旁，闲富路上，靠城西小和山，万丈山隧道出来就是。城西工作的人过来比较近
                  ",,,,,,,,,
556,['金宇彩虹嘉都'],富阳-银湖科技城,119.941451,30.099955,140,21903,提前预约随时可看,1.03117E+11,3,1室1厅1厨1卫,高楼层 (共15层),63.92㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,暂无数据,2021/8/19,商品房,2019/10/21,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,210828JO880774,"
                    地铁口，有电梯，精装修拎包入住。
                  ","
                    彩虹嘉都是2006年-2015年的小区，开发商为金宇房地产有限公司，物业是同泰物业。开发商是本地实力开发商，房屋质量有杠杠的。小区绿化很多，楼间距大，采光充足，适合居住
                  ",,,,"
                    万达已经开业，配套齐全，省中医院已经开始施工，2025年基本上完工，
                  ",,,"
                    小区距离万达200米左右，6号线已经开通，彩虹嘉都刚好在地铁口。另外彩虹快速路延伸段跟中环高速也在小区边上，另外还有汽车客运站，不论是自己开车还是坐地铁，坐公交都很方便。
                  ",,,,,,
557,['九龙仓雍景山'],富阳-银湖科技城,119.982073,30.168408,305,26987,提前预约随时可看,1.03116E+11,5,3室2厅1厨2卫,中楼层 (共4层),113.02㎡,,暂无数据,,南,钢混结构,毛坯,,,2021/7/21,商品房,2018/2/9,别墅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210520WB437554,"
                    
银湖科技城，次新小区，排屋区，上叠排，毛坯，带大阁楼
                  ","
                    
小区在闲林方向，过了万丈山隧道就到了，新小区，都是排屋和叠排，整个小区环境是法式装修。
                  ","
                    
购买这套房子的时候，是准备自住的，也是用心挑选的。由于工作原因，现在诚心出售的。看房方便。
                  ",联排,,"
                    小区位于野生动物园旁，闲富路上，靠城西小和山，万丈山隧道出来就是。城西工作的人过来比较近
                  ",,,,,,,,,
558,['峰华花苑'],富阳-银湖科技城,119.948997,30.103298,250,17982,提前预约随时可看,1.03114E+11,6,3室1厅1厨2卫,中楼层 (共11层),139.03㎡,平层,暂无数据,板楼,南,混合结构,简装,两梯三户,有,2021/3/28,商品房,2007/7/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210329QU960383,"
                    首付三成，满五唯一，高桥地铁站1.3公里，精装修全明三房含家电
                  ","
                    500米内工商银行建设银行在营业中，距离小区50米左右有一所私立幼儿园，500米左右有农贸市场。
                  ",,,,,,,"
                    自住装修，2012年装修的，保养的还是比较好的，房东诚心卖房，家电家具都留给新业主。
                  ",,,,,,
559,['九龙仓世纪华府'],富阳-银湖科技城,119.946915,30.08280443,435,26788,提前预约随时可看,1.03113E+11,5,4室2厅1厨2卫,高楼层 (共31层),162.39㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,2021/1/11,商品房,2017/3/15,普通住宅,满两年,共有,"
                                有抵押 110万元 招商银行股份有限公司杭州富阳支行 业主自还
                              ",已上传房本照片,210111IX388450,"
                    房子已满两年 精装修  采光充足户型方正 适合一家人住
                  ","
                    本小区由7幢20层以上欧式新古典主义高层住宅以及一幢带地下一层的会所和沿街商铺所组成。小区自带九龙仓品牌物业，人车分流，中 心景观及绿化面积将近占整个小区占地面积的40%，拥有约500㎡露天嬉水池。 品牌物业，服务很人性化。人车分流，小区环境挺好的。
                  ",,,,"
                    小区500米内有富春新天地购物广场，2公里内就有银泰和玉长城商 业 广场，有大型儿童游乐场，周 边有约60万方富春硅谷综合体，大型农贸市场。
                  ",,,"
                    房子周 边拥有立体的道路交通网，G320，九龙大道，闲祝线，之江路，紫之隧道，即可到达未来科技城，地铁6号线与杭富轻轨在象山美院站无缝对接
                  ",,,,,,
560,['容大五环城市花园'],富阳-富春,119.938355,30.061376,238,19210,提前预约随时可看,1.03114E+11,10,3室2厅1厨2卫,中楼层 (共11层),123.9㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯两户,有,2021/3/24,商品房,2004/11/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210420DL888375,"
                    小区旁边配套设施齐全，交通便利，小区环境整洁干净
                  ","
                    小区绿化品质高，安保物业严格，小区环境整洁，居住舒适性高。。
                  ","
                    房源户型南北透通，采光充足，通风性好，视野开阔，光照充足。。
                  ",,,"
                    适宜改善居住品质的年轻群体，也适合那种对生活追求品质的中老年群体。
                  ",,,,,,,,,
561,['富阳宝龙城市广场'],富阳-富春,119.9293601,30.0626853,228,23409,提前预约随时可看,1.03115E+11,0,3室1厅1厨1卫,低楼层 (共26层),97.4㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯三户,有,2021/4/29,商品房,2017/4/11,普通住宅,满两年,共有,"
                                有抵押 53万元 中国银行 业主自还
                              ",已上传房本照片,210430BK195617,"
                    背靠宝龙城市广场，隔着一条公路便是三甲医院，八小、三中近
                  ","
                    宝龙物业，社区绿植被丰富，噪音少，方便业主出来散散步，放松放松。是个适宜居住的优质社区
                  ",,,,"
                    房东精装自住，便于客户搬家入户可直接拎包入住，精装修省事省力，便于入住
                  ",,,,,,"
                    北门走100米便能到公交站台，小区内停车也比较方便。小区北面便是富阳宝龙城市广场，消费购物很方便
                  ",,,
562,['金城花园'],富阳-富春,119.9362441,30.05547017,210,20144,提前预约随时可看,1.03117E+11,4,3室2厅1厨2卫,中楼层 (共6层),104.25㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,无,2021/8/24,商品房,2007/2/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210323ON011892,"
                    近东方茂，地铁口自住装修，满五年业主诚心出售
                  ","
                    近东方茂，地铁6号线300米，配套成熟，生活便利，交通出行也很方便。自住精装修，装修保养的很不错，，适合一家人居住
                  ","
                    房间都比较宽敞的，居住起来很舒服。三房。两个卫生间。业主诚心出售的，看房方便
                  ",,"
                    房东自住精装修，装修保养的很好，地板都是比较新的，可以直接拎包入住
                  ",,,,,,,,,,
563,['虎山社区'],富阳-银湖科技城,119.9547482,30.06352608,190,16064,提前预约随时可看,1.03111E+11,15,3室2厅1厨1卫,高楼层 (共7层),118.28㎡,平层,暂无数据,板塔结合,南 北,砖混结构,精装,一梯两户,无,2020/9/17,商品房,2017/9/14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,1.91212E+11,"
                    区内清爽干净，闹钟取静 绿化优美，内有*市 幼儿园 水果店
                  ","
                    区内清爽干净，闹钟取静 绿化优美，内有*市 幼儿园 水果店 便利店
                  ",,,,"
                    带装修：此房带装修，装修风格简单温馨，您可以选择直接拎包入住，如果想重新装修也容易拆改，方便二次装修
                  ",,,,,,"
                    小区地理位置好，停车位充足，出门公交站台，医院，商城，市区直达
                  ",,,
564,['大家小墅'],富阳-富春,119.9343502,30.06882258,315,30266,提前预约随时可看,1.03114E+11,2,3室2厅1厨2卫,低楼层 (共29层),104.08㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021/3/7,商品房,2015/3/24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210325FL370910,"
                    
高品质电梯房小区，满五唯一，小区环境好，物业管理服好
                  ","
                    
此房为复式，毛坯房，可自主装修，房子很优质‘，通风好，户型方正
                  ",,,"
                    距离966米大拇指幼儿园，1013米大家幼儿园，239米富春八小，972米永兴，富阳区人民医院767米，富阳东吴医院952米，586米海施药房，934米宝龙城市广场（此距离为百度测距
                  ",,,,"
                    距离富春八小公交站20米，距离公望街地铁口600米，交通便利
                  ",,,,,,
565,['秋月社区'],富阳-富春,119.9496613,30.05931538,165,20421,提前预约随时可看,1.03115E+11,1,3室1厅1厨1卫,低楼层 (共3层),80.8㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,一梯一户,暂无数据,2021/5/16,商品房,2014/3/3,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210528AV494294,"
                    房屋朝南视野好。地段佳，户型好，楼层佳.


                  ","
                    户型方正3室1厅1厨1卫，地段位置好，配套完善，小区有免费停车位。电品车停车棚
                  ","
                    此房满五唯一购买人只需要交契税,首套房契税为1.5%，二套房契税为2%。
                  ",,"
                    老小区，儿童公园近，小户型适合一家三口。老人带孩子。配套完善边上华联商场。二贸菜场。
                  ",,,,,,,,,,
566,['野风春晓'],富阳-银湖科技城,119.968312,30.143589,205,23296,提前预约随时可看,1.03106E+11,13,3室2厅1厨1卫,中楼层 (共23层),88㎡,平层,暂无数据,板楼,南 西南 北,钢混结构,精装,两梯八户,有,2019/9/8,商品房,2016/7/17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,1.90818E+11,"
                    边套 精装修 家电家具齐 格局好 楼层好 视野开阔采光佳
                  ","
                    野风春晓位于富阳区银湖街道，小区整体环境优雅，绿 化率高，楼间距宽，居住舒适
                  ",,,"
                    项目周 边拥有立体的道路交通网，G320，九龙大道，闲祝线，之江路，紫之隧道，地铁6号线与杭富轻轨在象山美院站无缝对接
                  ","
                    楼层好 户型方正 南北通   透 两房朝南 一房朝北 房龄新 小区环境好
                  ",,,,,,,,,
567,['五月香山'],富阳-银湖科技城,120.016526,30.156412,295,22604,提前预约随时可看,1.03116E+11,4,3室2厅1厨2卫,中楼层 (共7层),130.51㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021/6/16,商品房,2014/12/5,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210629SQ301215,"
                    此房满两年少税 三个大卧室带两个卫生间 成熟小区 交通便利
                  ","
                    开发商：赛丽小区有多层住宅和排屋构成 在320国道旁边 在富阳区是离转塘JIN的一个小区
                  ",,,"
                    门口就是公交站，地铁6号线，597开往杭州东站，商务2号线514通往西湖菩提寺路等
                  ","
                    
户型方正 通透格局 视野采光好 楼层佳 本房位置佳 远离马路
                  ",,,,,,,,,
568,['五月香山'],富阳-银湖科技城,120.016526,30.156412,350,26124,提前预约随时可看,1.03115E+11,2,3室2厅1厨2卫,中楼层 (共7层),133.98㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021/4/25,商品房,2016/10/25,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,210517LS074419,"
                    房子，户型方正，格局也好，视野也开阔
                  ","
                    小区由宁波赛丽正宏置业有限公司于2004年建成，总共30栋，340户。物业费1.65元。
                  ",,,,"
                    业主这套房原本打算出租的，后面考虑到会长期不来住，所以现考虑出售。业主人是转塘人，过来签约方便。
                  ","
                    楼梯房，框架结构，2房朝南，1房朝北，客厅朝南，两个卫生间，卫生间都是明卫
                  ",,,,,,,,
569,['浪漫香槟西区'],富阳-富春,119.9228375,30.05403035,220,17641,具体信息请致电经纪人,1.03117E+11,1,3室2厅1厨2卫,中楼层 (共7层),124.71㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,无,2021/9/3,商品房,2014/11/24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201212XC522514,"
                    房子东边套 三空间朝南 3室2厅2户型，毛坯，楼层好 房东诚心出售
                  ","
                    小区共16栋高层组成，总用户378户，地上和地下车位共378个，绿化百分之30，小区物业浙江天意物业，电梯房1.3元/平方米/月，楼梯房1.0元/平方米/月 供暖方式是自供。
                  ","
                    杭州市富阳中医骨伤医院568米，富阳妇幼保健医院978米。宝龙广场985米，东方茂1293米，公园743米

                  ",,,"
                    总价不高：总价低，刚需小户型，适合预算不多的小两口 配套齐全，适合大部分人群
                  ",,,,,,,,,
570,['五月香山'],富阳-银湖科技城,120.016526,30.156412,350,26124,提前预约随时可看,1.03115E+11,2,3室2厅1厨2卫,中楼层 (共7层),133.98㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021/4/25,商品房,2016/10/25,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,210517LS074419,"
                    房子，户型方正，格局也好，视野也开阔
                  ","
                    小区由宁波赛丽正宏置业有限公司于2004年建成，总共30栋，340户。物业费1.65元。
                  ",,,,"
                    业主这套房原本打算出租的，后面考虑到会长期不来住，所以现考虑出售。业主人是转塘人，过来签约方便。
                  ","
                    楼梯房，框架结构，2房朝南，1房朝北，客厅朝南，两个卫生间，卫生间都是明卫
                  ",,,,,,,,
571,['五月香山'],富阳-银湖科技城,120.016526,30.156412,295,22604,提前预约随时可看,1.03116E+11,4,3室2厅1厨2卫,中楼层 (共7层),130.51㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021/6/16,商品房,2014/12/5,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210629SQ301215,"
                    此房满两年少税 三个大卧室带两个卫生间 成熟小区 交通便利
                  ","
                    开发商：赛丽小区有多层住宅和排屋构成 在320国道旁边 在富阳区是离转塘JIN的一个小区
                  ",,,"
                    门口就是公交站，地铁6号线，597开往杭州东站，商务2号线514通往西湖菩提寺路等
                  ","
                    
户型方正 通透格局 视野采光好 楼层佳 本房位置佳 远离马路
                  ",,,,,,,,,
572,['三江鸣翠桃源'],富阳-富春,119.934233,30.03921072,205,19983,提前预约随时可看,1.03115E+11,4,2室2厅1厨1卫,中楼层 (共7层),102.59㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2021/5/30,商品房,2009/7/16,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,210601JR898115,"
                    此房满五唯一免个税，楼层好，小区空气好饭后适合运动
                  ","
                    此小区入住率高，有些生活设备完善，小区自带幼儿园，方便业主孩子上下学
                  ",,,,"
                    小区离幼儿园大概500米，家有孩子上下学的比较方便，小区离东吴公园800米左右，晚饭后可以去公园爬山.走路.休闲
                  ",,,"
                    小区口有个公交站，想去哪里站牌一查就可以了，方便业主进出市区
                  ",,,,,,
573,['天时苑(富阳)'],富阳-银湖科技城,119.9561991,30.07587846,308,19748,提前预约随时可看,1.03113E+11,1,3室2厅1厨2卫,中楼层 (共16层),155.97㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,2021/1/3,商品房,2014/9/23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210121HK347119,"
                    
此房户型方正，朝向南，彩光度好，视野开阔。
                  ","
                    此小区闹中取静，环境好，不沿主路干道，物业管理好，配套完善。
                  ",,,,"
                    距离银泰1530米，距离玉长城广场1551米，距离世纪联华*市190米，距离好又多*市201米，距离横店影视城1624米
                  ",,,"
                    距离富春三幼公交站200米，途径公交606路，距离恩波大道公望街口公交站366米，途径公交，514路，597路，603路，609路，619路
                  ",,,,,,
574,['锦昌文华城'],富阳-富春,119.953317,30.06230611,294,29767,提前预约随时可看,1.03113E+11,0,4室2厅1厨2卫,高楼层 (共6层),98.77㎡,跃层,暂无数据,板楼,南,砖混结构,毛坯,一梯两户,无,2020/12/18,商品房,2013/3/14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201226QD901656,"
                    此房满五唯一，格局好，适合老人居住，配套设施齐全
                  ","
                    本房是属于老城区，适应老人具体，一楼方便，正常首付就可以，配套齐全，有菜市场，还有一个彩虹桥儿童乐园
                  ","
                    此房位于成熟配套的小区，钢筋混凝土结构，2房朝南，户型方正，楼层低，方便老人小孩居住
                  ",,"
                    目前是毛坯状态，户型好，房间大，可以根据自己的喜好随意装修，因为毛坯，可省装修拆除费用
                  ",,,,,,,,,,
